栄養素id,栄養素,食材,100gあたり含有量,単位,一食の目安量g,一食あたり,一日の目安量,割合%,レベル,タグ,食品番号,含有量の出典,基準値の出典,確認メモ
se,セレン,ベーコン,15.0,µg,20,3.0,25,12.0,2,,11183,確認済,2025年版・女性30-49・推奨量,11183 ＜畜肉類＞ ぶた ［ベーコン類］ ばらベーコン
se,セレン,大豆,5.0,µg,50,2.5,25,10.0,3,,04023,確認済,2025年版・女性30-49・推奨量,04023 だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾
sugar,糖質,白米,75.6,g,150,113.4,250.0,45.4,1,,01083,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,01083 こめ ［水稲穀粒］ 精白米 うるち米
sugar,糖質,玄米,71.3,g,150,106.95,250.0,42.8,1,,01080,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,01080 こめ ［水稲穀粒］ 玄米
sugar,糖質,そうめん,65.1,g,70,45.57,250.0,18.2,2,,01043,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾／目安量は暫定
sugar,糖質,シリアル,82.2,g,40,32.88,250.0,13.2,2,,01137,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 とうもろこし コーンフレーク／目安量は暫定
sugar,糖質,さつまいも,28.3,g,100,28.3,250.0,11.3,3,,02006,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,02006 ＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生
sugar,糖質,パン,44.1,g,60,26.46,249.06,11,3,,01026,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,日本食品標準成分表（八訂）増補2023年照合・実線化（品番01026）
sugar,糖質,もち,45.5,g,50,22.75,250.0,9.1,3,,01117,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 こめ ［もち米製品］ もち／目安量は暫定
sugar,糖質,清涼飲料,11.4,g,200,22.8,250.0,9,3,,16053,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,実線化・日本食品標準成分表（八訂）増補2023年照合（品番16053 コーラ）・救済で糖質のみ
sugar,糖質,はちみつ,75.2,g,21,15.79,250.0,6.3,3,,03022,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 （その他） はちみつ／目安量は暫定
sugar,糖質,砂糖,99.3,g,6,5.96,250.0,2.4,3,,03003,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 （砂糖類） 車糖 上白糖／目安量は暫定
sugar,糖質,ケチャップ,24.0,g,15,3.6,250.0,1.4,3,,17036,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 ＜調味料類＞ （トマト加工品類） トマトケチャップ／目安量は暫定
sugar,糖質,ソース,23.8,g,15,3.57,250.0,1.4,3,,17001,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 ＜調味料類＞ （ウスターソース類） ウスターソース／目安量は暫定
sugar,糖質,みりん,26.6,g,6,1.6,250.0,0.6,3,,16025,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表八訂 ＜アルコール飲料類＞ （混成酒類） みりん 本みりん／目安量は暫定
va,ビタミンA,豚レバー,13000,µgRAE,50,6500.0,700,929,1,,11166,確認済,2025年版・女性30-49・推奨量,豚レバーに統一（増補2023照合）
va,ビタミンA,うなぎ,2400.0,µgRAE,80,1920.0,700,274.3,1,,10067,確認済,2025年版・女性30-49・推奨量,10067 ＜魚類＞ うなぎ 養殖 生
va,ビタミンA,モロヘイヤ,840.0,µgRAE,60,504.0,700.0,72.0,1,,06293,確認済,2025年版・女性30-49・推奨量,成分表八訂 モロヘイヤ 茎葉 生／目安量は暫定
va,ビタミンA,にんじん,690.0,µgRAE,60,414.0,700,59.1,1,,06214,確認済,2025年版・女性30-49・推奨量,06214 （にんじん類） にんじん 根 皮なし 生
va,ビタミンA,ほうれん草,350.0,µgRAE,70,245.0,700,35.0,1,,06267,確認済,2025年版・女性30-49・推奨量,06267 ほうれんそう 葉 通年平均 生
va,ビタミンA,小松菜,260.0,µgRAE,70,182.0,700,26.0,2,,06086,確認済,2025年版・女性30-49・推奨量,06086 こまつな 葉 生
va,ビタミンA,卵,210.0,µgRAE,50,105.0,700,15.0,2,,12004,確認済,2025年版・女性30-49・推奨量,12004 鶏卵 全卵 生
va,ビタミンA,牛乳,38.0,µgRAE,200,76.0,700,10.9,3,,13003,確認済,2025年版・女性30-49・推奨量,13003 ＜牛乳及び乳製品＞ （液状乳類） 普通牛乳
va,ビタミンA,のり,2300.0,µgRAE,3,69.0,700.0,9.9,3,,09004,確認済,2025年版・女性30-49・推奨量,成分表八訂 あまのり 焼きのり／目安量は暫定
va,ビタミンA,トマト,45.0,µgRAE,150,67.5,700.0,9.6,3,,06182,確認済,2025年版・女性30-49・推奨量,成分表八訂 （トマト類） 赤色トマト 果実 生／目安量は暫定
va,ビタミンA,柿,35.0,µgRAE,150,52.5,700.0,7.5,3,,07049,確認済,2025年版・女性30-49・推奨量,成分表八訂 かき 甘がき 生／目安量は暫定
va,ビタミンA,ピーマン,33.0,µgRAE,30,9.9,700.0,1.4,3,,06245,確認済,2025年版・女性30-49・推奨量,成分表八訂 （ピーマン類） 青ピーマン 果実 生／目安量は暫定
vc,ビタミンC,柿,70.0,mg,150,105.0,100.0,105.0,1,,07049,確認済,2025年版・女性30-49・推奨量,成分表八訂 かき 甘がき 生／目安量は暫定
vc,ビタミンC,赤ピーマン,170.0,mg,50,85.0,100,85.0,1,,06247,確認済,2025年版・女性30-49・推奨量,06247 （ピーマン類） 赤ピーマン 果実 生
vc,ビタミンC,ブロッコリー,140.0,mg,60,84.0,100,84.0,1,,06263,確認済,2025年版・女性30-49・推奨量,06263 ブロッコリー 花序 生
